base1,base2,base3,base4,base5,base6
7,19,67,259,1027,4099
7,22,70,262,1030,4102
7,53,149,277,1045,2069
7,150,166,388,2182,4230
7,150,166,390,2182,4230
7,150,166,642,2182,4230
7,150,166,646,2182,4230
