base1,base2
3,9
3,10
3,33
3,34
5,9
5,12
5,65
5,68
6,18
6,20
6,66
6,68
7,19
7,21
7,22
7,35
7,37
7,38
7,53
9,10
9,12
10,18
10,24
11,13
11,26
11,35
11,67
11,73
11,74
12,36
12,40
13,21
13,25
13,28
13,44
13,69
14,38
14,42
14,44
14,70
14,74
14,76
14,106
15,38
15,39
15,46
17,33
17,48
17,65
17,80
18,20
18,24
19,21
19,22
19,67
19,71
19,81
19,82
20,36
20,48
21,22
21,25
21,27
21,28
22,26
22,52
22,70
23,27
23,29
23,39
23,53
23,71
23,83
24,72
24,80
25,28
25,41
25,49
25,56
25,60
26,42
26,50
26,56
26,88
27,29
28,76
28,84
28,85
28,88
29,57
29,60
29,85
29,92
30,76
30,78
30,92
33,34
33,48
34,66
34,96
35,37
35,38
35,49
35,98
36,40
36,48
37,38
37,69
37,97
37,100
37,102
38,42
38,44
39,46
39,53
39,101
39,102
40,72
40,96
41,49
41,56
41,73
41,89
41,97
41,104
42,44
42,50
42,54
42,56
43,56
43,57
43,58
44,52
44,104
45,97
45,101
45,105
46,54
46,58
46,78
46,106
49,52
49,56
49,81
50,56
50,82
50,98
50,112
50,120
51,82
51,83
51,114
52,84
52,100
52,112
54,58
57,58
57,60
57,89
57,105
58,114
58,120
65,68
65,80
66,68
66,96
67,73
67,74
67,81
67,82
67,90
69,70
69,81
69,97
69,100
70,74
70,76
70,98
71,83
72,80
72,96
73,74
73,97
73,99
73,104
74,76
74,77
75,77
75,78
75,83
75,90
75,99
75,105
76,84
76,88
77,78
78,92
78,106
81,82
81,88
82,98
82,112
83,90
83,114
84,88
84,100
84,108
84,112
85,92
86,112
86,114
86,116
88,104
89,105
92,108
92,116
97,100
97,104
98,104
98,112
99,105
100,112
100,113
101,102
101,105
101,113
101,116
108,116
113,116
114,116
114,120
