base1,base2
3,10
3,17
5,12
5,33
6,20
6,34
7,19
7,22
10,24
11,13
11,35
11,41
12,40
13,25
13,28
14,38
14,44
17,24
19,22
19,50
20,48
22,26
25,28
25,41
26,50
26,56
33,40
34,48
35,41
37,38
37,49
37,52
38,44
44,52
49,52
50,56
