base1,base2
3,9
3,10
3,18
3,33
3,41
3,42
3,65
3,66
3,81
3,82
5,9
5,12
5,35
5,38
5,129
5,132
5,137
5,140
6,18
6,20
6,36
6,66
6,82
6,84
6,130
6,132
6,162
6,164
7,18
7,19
7,21
7,22
7,35
7,37
7,38
7,52
7,53
7,54
7,66
7,67
7,69
7,70
7,82
7,83
7,86
7,97
7,99
7,101
9,10
9,12
9,21
9,24
9,28
9,129
9,131
9,138
10,18
10,19
10,24
10,25
10,70
10,76
11,13
11,19
11,25
11,26
11,35
11,41
11,42
11,56
11,57
11,58
11,67
11,69
11,70
11,71
11,76
11,77
11,78
11,131
11,137
11,138
11,146
11,147
11,154
11,161
11,163
11,169
12,36
12,40
12,69
12,72
12,73
12,132
12,164
12,168
13,21
13,25
13,28
13,35
13,38
13,39
13,42
13,43
13,44
13,46
13,69
13,73
13,76
13,88
13,89
13,92
13,133
13,137
13,140
13,148
13,149
13,156
13,193
13,197
13,201
14,36
14,38
14,42
14,44
14,70
14,74
14,76
14,104
14,106
14,108
14,132
14,134
14,138
14,140
14,164
14,166
14,172
14,194
14,198
14,202
15,35
15,38
15,39
15,42
15,43
15,45
15,46
15,69
15,70
15,71
15,75
15,76
15,77
15,78
15,103
15,110
18,20
18,21
18,24
18,42
18,48
18,56
19,21
19,22
19,25
19,26
19,29
19,67
19,70
19,71
19,81
19,82
19,86
19,89
19,130
19,131
19,134
19,135
19,145
19,146
19,149
19,150
19,194
19,195
19,209
19,210
20,36
20,38
20,48
20,50
20,140
20,152
21,22
21,25
21,27
21,28
21,37
21,39
21,44
21,45
21,48
21,49
21,52
21,54
21,57
21,60
21,129
21,133
21,134
21,135
21,141
21,145
21,147
21,148
21,150
21,156
21,177
22,26
22,37
22,38
22,39
22,50
22,52
22,53
22,67
22,70
22,71
22,82
22,83
22,84
22,112
22,114
22,116
22,134
22,138
22,140
22,142
22,152
22,154
22,156
23,25
23,27
23,29
23,37
23,39
23,52
23,53
23,54
23,67
23,70
23,71
23,82
23,83
23,86
23,134
23,135
23,145
23,147
23,149
23,150
23,163
23,167
23,179
24,72
24,73
24,80
24,81
24,138
24,144
24,146
25,26
25,28
25,40
25,41
25,44
25,45
25,49
25,53
25,56
25,60
25,73
25,76
25,77
25,81
25,83
25,88
25,92
25,104
25,105
25,113
25,120
26,41
26,42
26,43
26,50
26,56
26,57
26,70
26,76
26,78
26,84
26,86
26,88
26,92
26,131
26,138
26,139
26,146
26,147
26,152
26,176
26,178
26,184
27,29
27,41
27,42
27,43
27,56
27,57
27,58
27,78
27,79
27,81
27,83
27,89
27,94
27,131
27,138
27,139
27,146
27,147
27,154
28,72
28,73
28,76
28,77
28,84
28,88
28,89
28,133
28,140
28,141
28,148
28,149
28,152
28,208
28,212
28,216
29,44
29,45
29,49
29,53
29,57
29,60
29,73
29,76
29,77
29,88
29,89
29,92
29,133
29,141
29,148
29,149
29,156
29,184
29,185
29,188
30,70
30,76
30,78
30,84
30,86
30,90
30,92
30,138
30,140
30,142
30,150
30,152
30,154
30,156
30,206
30,220
31,78
31,79
31,91
31,94
33,48
33,65
33,81
33,96
33,112
33,129
33,131
33,160
33,162
35,37
35,38
35,41
35,42
35,45
35,46
35,65
35,67
35,97
35,98
35,106
35,131
35,133
35,135
35,137
35,139
35,161
35,162
35,165
35,166
35,169
35,226
36,40
36,42
36,48
36,84
36,96
36,112
37,38
37,48
37,49
37,52
37,54
37,67
37,69
37,71
37,96
37,97
37,99
37,100
37,112
37,113
37,116
38,42
38,43
38,44
38,45
38,50
38,52
38,58
38,133
38,134
38,135
38,140
38,142
38,162
38,163
38,164
38,165
38,172
38,178
39,42
39,43
39,45
39,46
39,52
39,53
39,54
39,67
39,69
39,71
39,97
39,99
39,101
39,133
39,135
39,141
39,143
39,162
39,163
39,165
39,166
39,173
40,49
40,72
40,76
40,96
40,100
41,42
41,49
41,56
41,58
41,129
41,131
41,137
41,139
41,161
41,163
41,168
41,176
41,177
41,184
42,44
42,45
42,50
42,54
42,56
42,57
42,74
42,78
42,88
42,90
42,96
42,98
42,99
42,104
42,108
42,114
42,120
43,45
43,46
43,53
43,55
43,56
43,57
43,58
43,61
43,98
43,99
43,106
43,131
43,137
43,139
43,161
43,163
43,169
44,49
44,52
44,53
44,57
44,74
44,76
44,78
44,100
44,104
44,106
44,134
44,140
44,142
44,164
44,166
44,168
44,224
44,228
44,232
45,46
45,49
45,53
45,55
45,57
45,59
45,60
46,50
46,54
46,58
46,71
46,74
46,78
46,79
46,103
46,104
46,106
46,108
46,134
46,140
46,142
46,164
46,166
46,172
47,53
47,55
47,59
47,61
47,71
47,79
47,103
47,110
47,141
47,143
47,167
47,173
48,144
48,146
48,160
48,162
49,52
49,56
49,60
49,81
49,89
49,97
49,100
49,101
49,104
49,105
49,112
49,116
49,120
49,145
49,149
49,160
49,161
49,176
49,209
50,52
50,56
50,80
50,82
50,88
50,90
50,98
50,106
50,112
50,120
50,146
50,152
50,154
50,162
50,166
50,176
50,184
50,208
50,210
50,226
50,240
52,82
52,84
52,86
52,97
52,100
52,101
52,112
52,113
52,114
52,140
52,152
52,156
52,168
52,172
52,176
52,184
53,54
53,57
53,59
53,60
53,97
53,100
53,101
53,112
53,113
53,116
53,145
53,149
53,177
54,58
54,82
54,84
54,86
54,112
54,114
54,116
54,156
54,158
54,162
54,166
54,178
54,188
55,59
55,61
55,135
55,151
55,163
55,167
55,179
56,144
56,146
56,152
56,154
56,161
56,168
56,169
56,176
56,177
56,178
57,58
57,60
57,81
57,89
57,104
57,105
57,108
57,109
57,113
57,120
57,124
57,161
57,168
57,169
57,176
57,177
57,184
58,88
58,90
58,98
58,106
58,113
58,114
58,115
58,120
58,121
58,146
58,152
58,154
58,176
58,178
58,184
59,61
59,113
59,115
59,120
59,121
59,122
60,140
60,152
60,156
60,157
60,168
60,172
60,180
60,184
60,185
61,108
61,109
61,121
61,124
61,157
61,184
61,185
61,188
62,156
62,158
62,182
62,188
65,66
65,96
65,98
65,137
65,200
66,69
66,96
